"订单汇总","金融产品","市场","名称","方向","数量","价格","成交金额","费用合计","证监会费","期权监管费","清算费","交易活动费","交易所费用","佣金","平台费","期权交收费","币种","下单时间","状态更新时间","品种","对手方代码"
"NVDA 垂直价差 260618 CALL 230.0/CALL 222.5","NVDA 垂直价差 260618 CALL 230.0/CALL 222.5","US","NVDA 垂直价差 260618 CALL 230.0/CALL 222.5","buy","1","2.6","1112.00","6.44","0.01","0.02","0.06","0.01","","3.98","2.00","0.36","USD","2026/06/01 22:37:37","2026/06/01 22:55:46","OPT","--"
"","NVDA 20260618 CALL 222.5","US","NVDA CALL","买入","1","6.86","686.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/06/01 22:37:37","2026/06/01 22:55:46","OPT","--"
"","NVDA 20260618 CALL 230.0","US","NVDA CALL","卖出","1","4.26","426.00","3.23","0.01","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/06/01 22:37:37","2026/06/01 22:55:46","OPT","--"
"CBRS 垂直价差 260618 PUT 200.0/PUT 210.0","CBRS 垂直价差 260618 PUT 200.0/PUT 210.0","US","CBRS 垂直价差 260618 PUT 200.0/PUT 210.0","buy","1","4.43","2197.00","6.45","0.02","0.02","0.06","0.01","","3.98","2.00","0.36","USD","2026/06/01 22:20:52","2026/06/01 22:20:52","OPT","--"
"","CBRS 20260618 PUT 210.0","US","CBRS PUT","买入","1","13.2","1320.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/06/01 22:20:52","2026/06/01 22:20:52","OPT","--"
"","CBRS 20260618 PUT 200.0","US","CBRS PUT","卖出","1","8.77","877.00","3.24","0.02","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/06/01 22:20:52","2026/06/01 22:20:52","OPT","--"
"CBRS 20260605 PUT 230.0","CBRS 20260605 PUT 230.0","US","CBRS PUT","买入","1","14.4","1440.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/06/01 21:45:29","2026/06/01 21:45:30","OPT","--"
"NVDA 20260601 CALL 220.0","NVDA 20260601 CALL 220.0","US","NVDA CALL","sell","2","1.39","278.00","3.47","0.02","0.02","0.06","0.02","","1.99","1.00","0.36","USD","2026/06/01 21:42:22","2026/06/01 21:42:23","OPT","--"
"","NVDA 20260601 CALL 220.0","US","NVDA CALL","卖出","1","1.39","139.00","0.24","0.01","0.01","0.03","0.01","","","","0.18","USD","2026/06/01 21:42:22","2026/06/01 21:42:22","OPT","--"
"","NVDA 20260601 CALL 220.0","US","NVDA CALL","卖出","1","1.39","139.00","3.23","0.01","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/06/01 21:42:22","2026/06/01 21:42:22","OPT","--"
"NVDA 20260601 CALL 220.0","NVDA 20260601 CALL 220.0","US","NVDA CALL","买入","2","2.22","444.00","3.42","","0.02","0.05","","","1.99","1.00","0.36","USD","2026/06/01 21:38:55","2026/06/01 21:38:55","OPT","--"
"NVDA 20260601 CALL 215.0","NVDA 20260601 CALL 215.0","US","NVDA CALL","卖出","1","4.6","460.00","3.23","0.01","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/06/01 21:36:21","2026/06/01 21:36:23","OPT","--"
"NVDA 20260605 PUT 207.5","NVDA 20260605 PUT 207.5","US","NVDA PUT","买入","1","1.11","111.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/06/01 21:35:58","2026/06/01 21:35:58","OPT","--"
"NVDA 20260601 CALL 215.0","NVDA 20260601 CALL 215.0","US","NVDA CALL","买入","1","3.35","335.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/06/01 21:30:28","2026/06/01 21:30:28","OPT","--"
"POP 20260629 CALL 200.0","POP 20260629 CALL 200.0","HK","POP CALL","买入","1","3.6","720.00","21.00","","","","","3.00","3.00","15.00","","HKD","2026/06/01 14:07:21","2026/06/01 14:07:47","OPT","--"
"POP 20260629 CALL 177.5","POP 20260629 CALL 177.5","HK","POP CALL","卖出","1","9","1800.00","21.60","","","","","3.00","3.60","15.00","","HKD","2026/06/01 13:49:26","2026/06/01 13:49:40","OPT","--"
"POP 20260629 CALL 200.0","POP 20260629 CALL 200.0","HK","POP CALL","买入","1","3.46","692.00","21.00","","","","","3.00","3.00","15.00","","HKD","2026/06/01 13:19:39","2026/06/01 13:19:40","OPT","--"
"CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","US","CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","buy","1","-12.91","3365.00","6.48","0.05","0.02","0.06","0.01","","3.98","2.00","0.36","USD","2026/05/29 23:47:59","2026/05/30 03:28:21","OPT","--"
"","CBRS 20260605 PUT 230.0","US","CBRS PUT","买入","1","10.37","1037.00","3.21","","0.01","0.03","","","1.99","1.00","0.18","USD","2026/05/29 23:47:59","2026/05/30 03:28:20","OPT","--"
"","CBRS 20260605 PUT 250.0","US","CBRS PUT","卖出","1","23.28","2328.00","3.27","0.05","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/05/29 23:47:59","2026/05/30 03:28:20","OPT","--"
"CBRS 20260605 PUT 250.0","CBRS 20260605 PUT 250.0","US","CBRS PUT","卖出","1","23.6","2360.00","3.27","0.05","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/05/29 23:45:04","2026/05/29 23:45:05","OPT","--"
"POP 20260629 CALL 177.5","POP 20260629 CALL 177.5","HK","POP CALL","买入","1","8.05","1610.00","21.22","","","","","3.00","3.22","15.00","","HKD","2026/05/29 13:27:18","2026/05/29 13:49:00","OPT","--"
"POP 20260629 CALL 200.0","POP 20260629 CALL 200.0","HK","POP CALL","卖出","2","3.1","1240.00","24.00","","","","","6.00","3.00","15.00","","HKD","2026/05/29 13:27:55","2026/05/29 13:27:55","OPT","--"
"NVDA 20260605 PUT 207.5","NVDA 20260605 PUT 207.5","US","NVDA PUT","卖出","1","2.43","243.00","3.23","0.01","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/05/28 22:15:46","2026/05/28 22:15:46","OPT","--"
"CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","US","CBRS 垂直价差 260605 PUT 250.0/PUT 230.0","buy","2","7.2","3420.00","6.87","0.02","0.04","0.10","0.01","","3.98","2.00","0.72","USD","2026/05/27 22:29:34","2026/05/27 22:47:26","OPT","--"
"","CBRS 20260605 PUT 230.0","US","CBRS PUT","卖出","2","4.95","990.00","3.45","0.02","0.02","0.05","0.01","","1.99","1.00","0.36","USD","2026/05/27 22:29:34","2026/05/27 22:47:26","OPT","--"
"","CBRS 20260605 PUT 250.0","US","CBRS PUT","买入","2","12.15","2430.00","3.42","","0.02","0.05","","","1.99","1.00","0.36","USD","2026/05/27 22:29:34","2026/05/27 22:47:26","OPT","--"
"NVDA 20260526 CALL 217.5","NVDA 20260526 CALL 217.5","US","NVDA CALL","卖出","3","0.82","246.00","3.67","0.01","0.04","0.08","0.01","","1.99","1.00","0.54","USD","2026/05/26 22:36:50","2026/05/26 22:36:50","OPT","--"
"NVDA 20260526 PUT 222.5","NVDA 20260526 PUT 222.5","US","NVDA PUT","卖出","1","5.45","545.00","3.23","0.01","0.01","0.03","0.01","","1.99","1.00","0.18","USD","2026/05/26 22:22:13","2026/05/26 22:35:05","OPT","--"
"NVDA 20260526 CALL 217.5","NVDA 20260526 CALL 217.5","US","NVDA CALL","买入","3","1.17","351.00","3.65","","0.04","0.08","","","1.99","1.00","0.54","USD","2026/05/26 22:32:42","2026/05/26 22:32:43","OPT","--"
"NVDA 20260526 PUT 215.0","NVDA 20260526 PUT 215.0","US","NVDA PUT","买入","2","0.65","130.00","3.42","","0.02","0.05","","","1.99","1.00","0.36","USD","2026/05/26 22:21:39","2026/05/26 22:22:12","OPT","--"
