账户,名称,代码,标的类型,类型,行权日,行权价,当前价,FIFO成本,持仓数量,可用数量,市值,昨日盈亏,今日盈亏,今日盈亏率,持仓盈亏,持仓盈亏率,未实现盈亏,未实现盈亏率,已实现盈亏,持仓占比,保证金占比,保证金金额,应计红利,实付红利,分红利息,盈利价差,财报日期,分红日期,隐含波动率,IV/HV,52周IV百分位,52周IV等级,Delta,Gamma,Vega,Theta,Rho,持仓 Delta,持仓 Gamma,持仓 Vega,持仓 Theta,持仓 Rho,Delta现金价值,1%Gamma现金价值,Vega现金价值,Theta现金价值,底层标的价,未平仓量,距离到期天数,价内概率,价外概率,盈利概率,币种
综合账户(610881),Cerebras Systems,="CBRS",期权,PUT,2026/06/05,230.0,16.40,4.93,0,0,0.00,--,-558.21,-63.07%,-1496.87,--,0.00,0.00%,-1496.87,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,--,100.54%,94.74%,10.00%,0.00%,-0.628,0.015,0.098,-0.972,-0.018,--,--,--,--,--,--,--,--,--,219.74,216,4天,65.09%,34.91%,--,USD
综合账户(610881),Cerebras Systems,="CBRS",期权,PUT,2026/06/18,200.0,8.60,8.74,-1,-1,-860.00,--,+13.76,+1.57%,+13.76,--,+13.76,+1.57%,0.00,-3.24%,0.00%,0.00,0.00,0.00,0.00,+0.14,--,--,88.62%,94.74%,10.00%,0.00%,-0.279,0.008,0.166,-0.402,-0.032,--,--,--,--,--,--,--,--,--,219.74,759,17天,31.62%,68.38%,--,USD
综合账户(610881),Cerebras Systems,="CBRS",期权,PUT,2026/06/18,210.0,12.65,13.23,1,1,1265.00,--,-58.21,-4.40%,-58.21,--,-58.21,-4.40%,0.00,4.76%,0.00%,0.00,0.00,0.00,0.00,-0.58,--,--,90.78%,94.74%,10.00%,0.00%,-0.369,0.009,0.183,-0.454,-0.042,--,--,--,--,--,--,--,--,--,219.74,358,17天,41.10%,58.90%,--,USD
综合账户(610881),英伟达,="NVDA",期权,CALL,2026/06/01,215.0,4.81,3.38,0,0,0.00,--,+118.56,+35.06%,+118.56,--,0.00,0.00%,+118.56,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,2026/06/04,22.34%,123.55%,58.57%,46.22%,0.969,0.027,0.009,-0.148,0.006,--,--,--,--,--,--,--,--,--,219.72,2.29万,0天,96.84%,3.16%,--,USD
综合账户(610881),英伟达,="NVDA",期权,CALL,2026/06/01,220.0,1.04,2.24,0,0,0.00,--,-172.89,-38.64%,-172.89,--,0.00,0.00%,-172.89,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,2026/06/04,25.99%,123.55%,58.57%,46.22%,0.468,0.133,0.046,-0.505,0.003,--,--,--,--,--,--,--,--,--,219.72,2.52万,0天,46.28%,53.72%,--,USD
综合账户(610881),英伟达,="NVDA",期权,PUT,2026/06/05,207.5,0.89,2.40,0,0,0.00,--,+210.79,+64.86%,+125.56,--,0.00,0.00%,+125.56,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,2026/06/04,46.64%,123.55%,58.57%,46.22%,-0.139,0.018,0.059,-0.262,-0.004,--,--,--,--,--,--,--,--,--,219.72,7216,4天,14.72%,85.28%,--,USD
综合账户(610881),英伟达,="NVDA",期权,CALL,2026/06/18,222.5,6.80,6.89,1,1,680.00,--,-9.21,-1.34%,-9.21,--,-9.21,-1.34%,0.00,2.56%,0.00%,0.00,0.00,0.00,0.00,-0.09,--,2026/06/04,41.00%,123.55%,58.57%,46.22%,0.471,0.020,0.195,-0.232,0.048,--,--,--,--,--,--,--,--,--,219.72,1524,17天,44.51%,55.49%,--,USD
综合账户(610881),英伟达,="NVDA",期权,CALL,2026/06/18,230.0,4.30,4.23,-1,-1,-430.00,--,-7.23,-1.71%,-7.23,--,-7.23,-1.71%,0.00,-1.62%,0.00%,0.00,0.00,0.00,0.00,-0.07,--,2026/06/04,42.01%,123.55%,58.57%,46.22%,0.336,0.018,0.178,-0.215,0.034,--,--,--,--,--,--,--,--,--,219.72,8.07万,17天,31.20%,68.80%,--,USD
综合账户(610881),泡玛 260629 177.50 CALL,="POP.HK",期权,CALL,2026/06/29,177.50,10.030,8.156,0,0,0.00,--,+302.40,+20.49%,+147.18,--,0.00,0.00%,+147.18,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,--,43.73%,122.20%,66.67%,54.95%,0.566,0.018,0.199,-0.154,0.073,--,--,--,--,--,--,--,--,--,179.600,2698,28天,53.80%,46.20%,--,HKD
综合账户(610881),泡玛 260629 200.00 CALL,="POP.HK",期权,CALL,2026/06/29,200.00,3.730,3.040,0,0,0.00,--,-302.00,-26.22%,-238.00,--,0.00,0.00%,-238.00,0.00%,0.00%,0.00,0.00,0.00,0.00,--,--,--,51.46%,122.20%,66.67%,54.95%,0.254,0.012,0.163,-0.146,0.033,--,--,--,--,--,--,--,--,--,179.600,9618,28天,22.92%,77.08%,--,HKD